,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
887,887,Mediacorp,2020-03-28,good,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : good environment office . con : open space work environment,0.9181439,,
4113,4113,Mediacorp,26/7/2022,-,5.0,-,Singapore,benefits,objective,neutral,,"best : annual leave 21 day , family care leave 2 day . good medical benefit check 40yo & employee . bad : not really",0.46668968,2735.0,"best : annual leave 21 day , family care leave 2 day . good medical benefit check 40yo & employee . bad : not really"
4134,4134,Mediacorp,2/11/2021,-,5.0,-,Singapore,benefits,objective,neutral,,medical insurance coverage extend spouse kid,0.728027,2756.0,medical insurance coverage extend spouse kid
4136,4136,Mediacorp,9/9/2021,-,5.0,-,Singapore,benefits,objective,neutral,,21 day annual leave,0.6597996,2758.0,21 day annual leave
4152,4152,Mediacorp,15/1/2021,-,5.0,-,Singapore,benefits,objective,neutral,,competitive salary high average .,0.6539522,2774.0,competitive salary high average .
4154,4154,Mediacorp,18/1/2021,-,1.0,-,Singapore,benefits,objective,neutral,,staff enter one-year contract barely benefit no bonus,0.6612737,2776.0,staff enter one-year contract barely benefit no bonus
4160,4160,Mediacorp,1/9/2020,-,1.0,-,Singapore,benefits,objective,neutral,,time ok,0.561318,2782.0,time ok
4164,4164,Mediacorp,17/10/2019,-,5.0,-,Singapore,benefits,objective,neutral,,"21 day annual leave , $ 5 co-payment doctor consultation",0.76971716,2786.0,"21 day annual leave , $ 5 co-payment doctor consultation"
4166,4166,Mediacorp,16/7/2019,-,1.0,-,Singapore,benefits,objective,neutral,,no work life balance production team take much job hand,0.59903204,2788.0,no work life balance production team take much job hand
4179,4179,Mediacorp,27/3/2018,-,5.0,-,Singapore,benefits,objective,neutral,,offer annual leave twelve day . less company offer fourteen day .,0.73827136,2801.0,offer annual leave twelve day . less company offer fourteen day .
4185,4185,Mediacorp,22/8/2017,-,5.0,-,Singapore,benefits,objective,neutral,,"medical insurance whole family staff wellness benefit ; free healthscreens , staff training",0.6644342,2807.0,"medical insurance whole family staff wellness benefit ; free healthscreens , staff training"
4198,4198,Mediacorp,27/6/2016,-,1.0,-,Singapore,benefits,objective,neutral,,work contract without medical claim,0.6251216,2820.0,work contract without medical claim
4211,4211,Mediacorp,14/7/2015,-,1.0,-,Singapore,benefits,objective,neutral,,sub-standard benefit industry standard,0.8209184,2833.0,sub-standard benefit industry standard
4214,4214,Mediacorp,29/8/2014,-,5.0,-,Singapore,benefits,objective,neutral,,encompass . medical & insurance coverage comprehensive . discount perk various platform also available .,0.64335823,2836.0,encompass . medical & insurance coverage comprehensive . discount perk various platform also available .
9574,9574,Mediacorp,14/10/2022,-,5.0,Translator,,reviews,objective,neutral,,pro : people skill listen skils resilience . con : no con work mediaceop,0.9165028,8196.0,pro : people skill listen skils resilience . con : no con work mediaceop
9576,9576,Mediacorp,19/9/2022,nice,5.0,Unemplyed,,reviews,objective,neutral,,pro : environment good work . con : not applicable not applicable not applicable,0.8841711,8198.0,pro : environment good work . con : not applicable not applicable not applicable
9577,9577,Mediacorp,14/9/2022,Good benefits. Good environment,5.0,Presenter,,reviews,objective,neutral,,pro : company benefit improve tremendously environment good work . love . con : salary increment vb should still push far match market rate,0.6096051,8199.0,pro : company benefit improve tremendously environment good work . love . con : salary increment vb should still push far match market rate
9586,9586,Mediacorp,12/9/2022,Egoistic Producers and forever stuck in the past,1.0,Producer,,reviews,objective,neutral,,"pro : easy stress free job . con : outdated show content , management , work flow .",0.83836657,8208.0,"pro : easy stress free job . con : outdated show content , management , work flow ."
9592,9592,Mediacorp,12/7/2022,Manager,5.0,Human Resources Manager,,reviews,objective,neutral,,pro : fun fhr artiste . con : toxic also culture,0.7247881,8214.0,pro : fun fhr artiste . con : toxic also culture
